"135829971","35","-1","sju88","1"
"135826641","32","-67","YiqiaoXu-Joe","1"
"132569744","12","-1","YiqiaoXu-Joe","1"
"135826310","29","-67","YiqiaoXu-Joe","1"
"137128878","48",\N,"asaha1","1"
"135616671","26","-4","yemao616","1"
"135614610","23","-37","sju88","1"
"135278277","20",\N,"asaha1","1"
"136930687","46","-63","YiqiaoXu-Joe","1"
"135277735","17",\N,"asaha1","1"
"136879458","43",\N,"asaha1","1"
"135269546","14","-35","yemao616","1"
"136450627","40","-35","yemao616","1"
"136406993","37",\N,"asaha1","1"
"137415262","53","2","arnabsaha1011","1"
"137411292","50",\N,"arnabsaha1011","1"
"134319521","13","-4","asaha1","1"
"135829554","34","2","sju88","1"
"135826629","31","-37","sju88","1"
"132569582","11","-1","YiqiaoXu-Joe","1"
"135618680","28","-4","yemao616","1"
"137125970","47",\N,"asaha1","1"
"131732405","10","-20","asaha1","1"
"135616539","25","33","yemao616","1"
"135611493","22","2","yemao616","1"
"135278149","19",\N,"asaha1","1"
"136879523","45",\N,"asaha1","1"
"135277455","16",\N,"asaha1","1"
"136879431","42",\N,"asaha1","1"
"136407287","39","-4","asaha1","1"
"137415095","52","2","arnabsaha1011","1"
"135831901","36","-37","sju88","1"
"135828078","33","-37","sju88","1"
"135826438","30","-67","YiqiaoXu-Joe","1"
"137129015","49",\N,"asaha1","1"
"135618592","27","-4","yemao616","1"
"135616419","24","-4","yemao616","1"
"135278565","21",\N,"asaha1","1"
"135277858","18",\N,"asaha1","1"
"136879503","44",\N,"asaha1","1"
"135277097","15",\N,"asaha1","1"
"136451134","41","-4","yemao616","1"
"136407074","38","-4","asaha1","1"
"137414571","51","2","arnabsaha1011","1"
"135912793","22","0","shifalijain","2"
"137395745","36",\N,"shivamgulati1991","2"
"137353567","33",\N,"shivamgulati1991","2"
"137178929","31","0","shivamgulati1991","2"
"132030917","13",\N,"shivamgulati1991","2"
"137106403","28",\N,"shivamgulati1991","2"
"131520144","11","-1","nishtha02","2"
"136993651","25",\N,"shivamgulati1991","2"
"131453931","7",\N,"shivamgulati1991","2"
"135036033","18","0","shivamgulati1991","2"
"135035702","15",\N,"shivamgulati1991","2"
"135911212","21","0","nishtha02","2"
"137395654","35",\N,"shivamgulati1991","2"
"137132912","30",\N,"nishtha02","2"
"137009276","27",\N,"priysha","2"
"131520070","10",\N,"priysha","2"
"136993327","24",\N,"priysha","2"
"135177662","20","1","shivamgulati1991","2"
"135035955","17","0","shivamgulati1991","2"
"137400829","37","24","shivamgulati1991","2"
"137382849","34",\N,"priysha","2"
"137179109","32","0","shivamgulati1991","2"
"132030938","14",\N,"shivamgulati1991","2"
"137120786","29",\N,"shivamgulati1991","2"
"131520184","12","-1","shifalijain","2"
"137009178","26","0","shivamgulati1991","2"
"131519417","9",\N,"priysha","2"
"136993307","23",\N,"shifalijain","2"
"131454400","8",\N,"shivamgulati1991","2"
"135038284","19","1","shivamgulati1991","2"
"130316485","5","0","shivamgulati1991","2"
"135035878","16",\N,"shivamgulati1991","2"
"134369801","25","0","cleebp","3"
"133322494","22","0","cleebp","3"
"131492989","15","-5","trueblue2704","3"
"131491905","12","0","reachspirit","3"
"131478961","8","-19","trueblue2704","3"
"136172245","31","-5","cleebp","3"
"137326538","43","0","cleebp","3"
"132812264","20","-1","reachspirit","3"
"131492771","14","0","reachspirit","3"
"131480044","11","-1","trueblue2704","3"
"131478194","7","-19","trueblue2704","3"
"130438538","6","0","cleebp","3"
"136181698","38","-2","reachspirit","3"
"136163214","30","0","trueblue2704","3"
"134383546","26","0","cleebp","3"
"133888015","23","0","reachspirit","3"
"132812023","19","0","cleebp","3"
"131492198","13","0","reachspirit","3"
"131479695","9","-5","trueblue2704","3"
"136180135","36","-1","cleebp","3"
