"4","2016-01-14","1"
"1","2016-01-17","1"
"8","2016-01-26","1"
"14","2016-02-02","1"
"8","2016-02-05","1"
"5","2016-02-09","1"
"4","2016-02-14","1"
"8","2016-02-17","1"
"23","2016-02-21","1"
"1","2016-02-22","1"
"27","2016-02-23","1"
"1","2016-02-24","1"
"22","2016-02-25","1"
"16","2016-02-27","1"
"29","2016-02-29","1"
"7","2016-03-02","1"
"12","2016-03-03","1"
"9","2016-03-04","1"
"2","2016-03-21","1"
"14","2016-03-31","1"
"23","2016-04-04","1"
"42","2016-04-05","1"
"68","2016-04-06","1"
"4","2016-04-07","1"
"1","2016-04-08","1"
"5","2016-04-14","1"
"2","2016-04-15","1"
"10","2016-04-19","1"
"10","2016-04-20","1"
"7","2016-04-22","1"
"3","2016-04-24","1"
"10","2016-01-18","2"
"1","2016-01-24","2"
"6","2016-02-01","2"
"1","2016-02-02","2"
"4","2016-02-04","2"
"5","2016-02-05","2"
"3","2016-02-06","2"
"6","2016-02-08","2"
"21","2016-02-20","2"
"4","2016-02-21","2"
"1","2016-02-23","2"
"5","2016-02-24","2"
"4","2016-02-25","2"
"25","2016-02-28","2"
"46","2016-02-29","2"
"18","2016-03-01","2"
"6","2016-03-02","2"
"8","2016-03-03","2"
"17","2016-04-03","2"
"26","2016-04-06","2"
"2","2016-04-07","2"
"10","2016-04-08","2"
"6","2016-01-13","3"
"2","2016-01-14","3"
"1","2016-01-19","3"
"7","2016-01-30","3"
"4","2016-02-01","3"
"5","2016-02-02","3"
"32","2016-02-04","3"
"1","2016-02-09","3"
"27","2016-02-10","3"
"4","2016-02-12","3"
"3","2016-02-16","3"
"21","2016-02-17","3"
"4","2016-02-21","3"
"3","2016-02-22","3"
"3","2016-02-23","3"
"37","2016-02-24","3"
"15","2016-02-28","3"
"4","2016-02-29","3"
"24","2016-03-01","3"
"24","2016-03-02","3"
"3","2016-03-03","3"
"3","2016-03-08","3"
"16","2016-03-09","3"
"8","2016-03-14","3"
"11","2016-03-16","3"
"5","2016-03-22","3"
"11","2016-03-23","3"
"6","2016-03-24","3"
"2","2016-03-25","3"
"20","2016-03-28","3"
"4","2016-03-29","3"
"7","2016-03-30","3"
"4","2016-03-31","3"
"4","2016-04-03","3"
"9","2016-04-04","3"
"4","2016-04-05","3"
"3","2016-04-06","3"
"5","2016-04-07","3"
"22","2016-04-13","3"
