"134319521","asaha1","11452","1"
"126769025","YiqiaoXu-Joe","17279","1"
"136879523","asaha1","0","1"
"145711459","YiqiaoXu-Joe","0","1"
"135277455","asaha1","5218","1"
"144766920","asaha1","21599","1"
"128972412","YiqiaoXu-Joe","9604","1"
"136930687","YiqiaoXu-Joe","0","1"
"135277858","asaha1","5216","1"
"145571592","asaha1","4111","1"
"128972869","YiqiaoXu-Joe","9602","1"
"135826438","YiqiaoXu-Joe","0","1"
"135278565","asaha1","3820","1"
"146114280","asaha1","20247","1"
"144767071","asaha1","5836","1"
"137128878","asaha1","30156","1"
"137932219","asaha1","7","1"
"135616539","yemao616","59039","1"
"146133945","sju88","0","1"
"137411292","arnabsaha1011","49186","1"
"136451134","asaha1","0","1"
"135618592","yemao616","3800","1"
"146134629","sju88","0","1"
"135611493","asaha1","59073","1"
"130070314","asaha1","3582","1"
"146135368","sju88","0","1"
"138544120","asaha1","43739","1"
"149609587","asaha1","3834","1"
"136879431","asaha1","0","1"
"145712553","YiqiaoXu-Joe","0","1"
"132569744","asaha1","27483","1"
"126768651","YiqiaoXu-Joe","17281","1"
"136879503","asaha1","0","1"
"145711745","YiqiaoXu-Joe","0","1"
"135269546","yemao616","5535","1"
"126769376","YiqiaoXu-Joe","17277","1"
"145710704","YiqiaoXu-Joe","0","1"
"135277735","asaha1","2572","1"
"145571540","sju88","2","1"
"128972869","YiqiaoXu-Joe","9602","1"
"135826641","YiqiaoXu-Joe","0","1"
"135278149","asaha1","0","1"
"145571823","asaha1","4109","1"
"150396325","asaha1",\N,"1"
"137125970","asaha1","1298","1"
"135826310","YiqiaoXu-Joe","0","1"
"135616419","yemao616","3816","1"
"146133825","asaha1","1162","1"
"132569582","asaha1","27485","1"
"135826629","asaha1","0","1"
"135616671","yemao616","3815","1"
"146134246","sju88","1","1"
"135829971","asaha1","7638","1"
"135829554","sju88","12730","1"
"146134730","sju88","0","1"
"138544026","asaha1","23442","1"
"149609405","asaha1",\N,"1"
"136406993","asaha1","0","1"
"146135883","sju88","0","1"
"131732405","asaha1","6013","1"
"138544189","asaha1","43738","1"
"126768413","YiqiaoXu-Joe","4347","1"
"136879458","asaha1","2689","1"
"145712114","YiqiaoXu-Joe","0","1"
"137009178","shivamgulati1991","51255","2"
"137106403","shivamgulati1991","1378","2"
"136993651","shivamgulati1991","2677","2"
"137009276","priysha","2795","2"
"137353567","shivamgulati1991","68","2"
"139676259","trueblue2704","20606","3"
"136163214","trueblue2704","8500","3"
"139676012","trueblue2704","20606","3"
"140552535","trueblue2704","0","3"
"135251380","trueblue2704","14320","3"
