"134319521","asaha1","11452","1"
"136879523","asaha1","0","1"
"135277455","asaha1","5218","1"
"135277858","asaha1","5216","1"
"135278565","asaha1","3820","1"
"137128878","asaha1","30156","1"
"135616539","yemao616","59039","1"
"137411292","arnabsaha1011","49186","1"
"135618592","yemao616","3800","1"
"136879431","asaha1","0","1"
"132569744","asaha1","27483","1"
"136879503","asaha1","0","1"
"135269546","yemao616","5535","1"
"135277735","asaha1","2572","1"
"135278149","asaha1","0","1"
"137125970","asaha1","1298","1"
"135616419","yemao616","3816","1"
"135616671","yemao616","3815","1"
"135829554","sju88","12730","1"
"136406993","asaha1","0","1"
"131732405","asaha1","6013","1"
"136879458","asaha1","2689","1"
"137009178","shivamgulati1991","51255","2"
"137106403","shivamgulati1991","1378","2"
"136993651","shivamgulati1991","2677","2"
"137009276","priysha","2795","2"
"137353567","shivamgulati1991","68","2"
"136163214","trueblue2704","8500","3"
