"146147711","79","-22","YiqiaoXu-Joe","1"
"146135780","76","4","sju88","1"
"146134629","73","4","sju88","1"
"146133825","70","-24","asaha1","1"
"145712114","67","3","YiqiaoXu-Joe","1"
"149609405","83",\N,"asaha1","1"
"145710704","64","3","YiqiaoXu-Joe","1"
"145571540","61","2","sju88","1"
"146148104","81","-23","YiqiaoXu-Joe","1"
"146136611","78","4","sju88","1"
"146135368","75","4","sju88","1"
"146134246","72","4","sju88","1"
"146114280","69","-11","asaha1","1"
"150396325","85",\N,"asaha1","1"
"145711745","66","3","YiqiaoXu-Joe","1"
"148497185","82","-16","asaha1","1"
"145571823","63","-24","asaha1","1"
"146147901","80","-23","YiqiaoXu-Joe","1"
"146135883","77","4","sju88","1"
"146134730","74","4","sju88","1"
"146133945","71","4","sju88","1"
"145712553","68","-26","YiqiaoXu-Joe","1"
"149609587","84","-8","asaha1","1"
"145711459","65","3","YiqiaoXu-Joe","1"
"145571592","62","-24","asaha1","1"
"145549625","45","-1","shivamgulati1991","2"
"146161436","50","0","priysha","2"
"145550616","47","0","shivamgulati1991","2"
"145549528","44","0","shivamgulati1991","2"
"146160835","49","0","shivamgulati1991","2"
"145549788","46","0","shivamgulati1991","2"
"146161592","51","0","shivamgulati1991","2"
"146160757","48","0","nishtha02","2"
"145790949","78","0","cleebp","3"
"148151730","84",\N,"effat","3"
"148149818","81",\N,"cleebp","3"
"145729152","77","0","cleebp","3"
"148150829","83",\N,"trueblue2704","3"
"146670289","80","-17","cleebp","3"
"146033378","79","0","cleebp","3"
"148152224","85",\N,"reachspirit","3"
"148150325","82",\N,"cleebp","3"
"145532596","76","0","cleebp","3"
