"135278277","asaha1","1139","1"
"146114280","asaha1","20247","1"
"148497185","asaha1","222","1"
"146135780","sju88","0","1"
"136993307","shifalijain","4432","2"
"137120786","shivamgulati1991","294","2"
"137395745","shivamgulati1991","501","2"
"137486619","shivamgulati1991","48307","2"
"135177662","shivamgulati1991","11508","2"
"136993327","priysha","214","2"
"137382849","priysha","393","2"
"137132912","shivamgulati1991","2945","2"
"135035878","shivamgulati1991","11299","2"
"137978959","cleebp","4","3"
"136175359","reachspirit","11353","3"
"137674120","cleebp","1388","3"
"141368883","reachspirit","10088","3"
